article_id,article_title,section_id,section_title,article_section
2,"Abdominal CT scan",4917445,_INTRO_,"<p>An abdominal CT scan is an imaging method that uses x-rays to create cross-sectional pictures of the belly area. CT stands for computed tomography.</p>"
2,"Abdominal CT scan",4917446,"How the Test is Performed","<p>You will lie on a narrow table that slides into the center of the CT scanner. Most often,you will lie on your back with your arms raised above the head.</p><p>Once you are inside the scanner, the machine's x-ray beam rotates around you. Modern ""spiral"" scanners can perform the exam without stopping.</p><p>A computer creates separate images of the belly area, called slices. These images can be stored, viewed on a monitor, or printed on film. Three-dimensional models of the belly area can bemade by stacking the slices together.</p><p>You must be still during the exam, because movement causes blurred images. You may be told to hold your breath for short periods of time.</p><p>The scan should take less than 30 minutes.</p>"
2,"Abdominal CT scan",4917447,"How to Prepare for the Test","<p>You need to have a special dye, called contrast, put into your body before some exams. Contrast helps certain areas show up better on the x-rays.</p><ul><li>Contrast can be given through a vein (IV) in your hand or forearm. If contrast is used, you may also be asked not to eat or drink anything for 4-6 hours before the test.</li><li>You may have to drink the contrast before the exam. When you drink it will depend on the type of exam being done. Contrast has a chalky taste although some have flavors so that they taste a little better. </li><li>The contrast will pass out of your body through your stools.</li><li>Let your doctor know if you have ever had a reaction to contrast. You may need to take medicines before the test in order to safely receive this substance.</li><li>Before receiving the contrast, tell your health care provider if you take the diabetes medication metformin(Glucophage).People taking this medicine may have to stop taking it for a while before the test.</li></ul><p>Too much weight can damage the scanner. Find out if the CT machine has a weight limit if you weigh more than 300 pounds. </p><p>You will need to take off yourjewelry and wear a hospital gown during the study.</p>"
2,"Abdominal CT scan",4917448,"How the Test Will Feel","<p>Lying on the hard table may be a little bit uncomfortable.</p><p>If you have contrast through a vein (IV), you may have:</p><ul><li>Slight burning sensation</li><li>Metallic taste in the mouth</li><li>Warm flushing of the body</li></ul><p>These feelings are normal and go away within a few seconds.</p>"
2,"Abdominal CT scan",4917449,"Why the Test is Performed","<p>An abdominal CT scan makesdetailed pictures of the structures inside your belly (abdomen) very quickly.</p><p>This test may be used to look for:</p><ul><li>Cause of abdominal pain or swelling</li><li>Hernia</li><li>Cause of a fever</li><li>Masses and tumors, including cancer</li><li>Infections or injury</li><li>Kidney stones</li><li>Appendicitis</li></ul>"
2,"Abdominal CT scan",4917450,"What Abnormal Results Mean","<p>The abdominal CT scan mayshow somecancers, including:</p><ul><li>Breast cancer</li><li>Cancer of the renal pelvis or ureter</li><li>Colon cancer</li><li>Hepatocellular carcinoma</li><li>Lymphoma</li><li>Melanoma</li><li>Ovarian cancer</li><li>Pancreatic cancer</li><li>Pheochromocytoma</li><li>Renal cell carcinoma (kidney cancer)</li><li>Testicular cancer</li></ul><p>The abdominal CT scan may show problems with the gallbladder, liver, or pancreas, including:</p><ul><li>Acute cholecystitis</li><li>Alcoholic liver disease</li><li>Cholelithiasis</li><li>Pancreatic abscess</li><li>Pancreatic pseudocyst</li><li>Pancreatitis</li><li>Sclerosing cholangitis</li></ul><p>The abdominal CT scan may reveal the following kidney problems:</p><ul><li>Acute bilateral obstructive uropathy</li><li>Acute unilateral obstructive uropathy</li><li>Chronic bilateral obstructive uropathy</li><li>Chronic unilateral obstructive uropathy</li><li>Complicated UTI (pyelonephritis)</li><li>Kidney stones</li><li>Kidney swelling (hydronephrosis)</li><li>Kidney or ureter damage</li><li>Polycystic kidney disease</li><li>Ureterocele</li></ul><p>Abnormal results may also be due to:</p><ul><li>Abdominal aortic aneurysm</li><li>Abscesses</li><li>Appendicitis</li><li>Bowel wall thickening</li><li>Retroperitoneal fibrosis</li><li>Renal artery stenosis</li><li>Renal vein thrombosis</li></ul>"
2,"Abdominal CT scan",4917451,Risks,"<p>Risks of CT scans include:</p><ul><li>Allergyto contrast dye</li><li>Exposure to radiation</li></ul><p>CT scansexpose you to more radiation than regular x-rays. Many x-rays or CT scans over time may increase your risk for cancer. However, the risk from any one scan is small. Talk to your doctor about this risk and the benefit of the test for gettinga correct diagnosis of yourmedical problem. </p><p>Some people have allergies to contrast dye. Let your doctor know if you have ever had an allergic reaction to injected contrast dye.</p><ul><li>The most common type of contrast given into a vein contains iodine. If you have an iodine allergy, you may have nausea or vomiting,sneezing, itching,or hives if you get this type of contrast.</li><li>If you must be given such contrast, your doctor may give you antihistamines (such as Benadryl) or steroids before the test.</li><li>Yourkidneys help remove iodine out of the body. You may need extra fluids after the test to help flush the iodine out of the body if you havekidney disease or diabetes.</li></ul><p>Rarely, the dye may cause a life-threatening allergic response called anaphylaxis. Tell the scanner operator right away if you have any trouble breathing during the test.. Scanners come with an intercom and speakers, so the operator can hear you at all times.</p>"
2,"Abdominal CT scan",4917452,"Alternative Names","<p>Computed tomography scan - abdomen; CT scan - abdomen; CAT scan - abdomen</p>"
2,"Abdominal CT scan",4917453,References,"<p>Kim DH, Pickhardt PJ. Diagnostic imaging procedures in gastroenterology. In: Goldman L, Schafer AI, eds. <em>Cecil Medicine. </em>24th ed. Philadelphia, Pa: Saunders Elsevier; 2011:chap 135.</p><p>Shaw AS, Dixon AK. Multidetector computed tomography. In: Adam A, Dixon AK, eds. <em>Grainger &amp; Allison's Diagnostic Radiology: A Textbook of Medical Imaging</em>. 5th ed. New York, NY: Churchill Livingstone; 2008:chap 4.</p>"
3,"Abdominal mass",4917454,_INTRO_,"<p>An abdominal mass is swelling in one part of the belly area (abdomen).</p>"
3,"Abdominal mass",4917455,Considerations,"<p>An abdominal mass is usually found during a routine physical examination. Most of the time the mass develops slowly. You may not be able to feel the mass.</p><p>Finding where the pain occurs helps the doctor make a diagnosis. For example, the abdomen is usually divided into four areas:</p><ul><li>Right-upper quadrant</li><li>Left-upper quadrant</li><li>Right-lower quadrant</li><li>Left-lower quadrant</li></ul><p>Other terms used to find the location of abdominal pain or masses include:</p><ul><li>Epigastric -- center of the abdomen just below the rib cage</li><li>Periumbilical -- area around the bellybutton</li></ul><p>The location of the mass and its firmness, texture, and other qualities can provide clues to its cause.</p>"
3,"Abdominal mass",4917456,Causes,"<ul><li>Abdominal aortic aneurysm can cause a pulsating mass around the navel.</li><li>Bladder distention (urinary bladder over-filled with fluid) can cause a firm mass in the center of the lower abdomen above the pelvic bones. In extreme cases it can reach as far up as the navel.</li><li>Cholecystitis can cause a very tender mass that is felt below the liver in the right-upper quadrant (occasionally).</li><li>Colon cancer can cause a mass almost anywhere in the abdomen.</li><li>Crohn's disease or bowel obstruction can cause many tender, sausage-shaped masses anywhere in the abdomen.</li><li>Diverticulitis can cause a mass that is usually located in the left-lower quadrant.</li><li>Gallbladder tumor can cause a tender, irregularly shaped mass in the right-upper quadrant.</li><li>Hydronephrosis (fluid-filled kidney) can cause a smooth, spongy-feeling mass in one or both sides or toward the back (flank area).</li><li>Kidney cancer can sometimes cause a mass in the abdomen.</li><li>Liver cancer can cause a firm, lumpy mass in the right upper quadrant.</li><li>Liver enlargement (hepatomegaly) can cause a firm, irregular mass below the right rib cage, or on the left side in the stomach area.</li><li>Neuroblastoma, a cancerous tumor, often found in the lower abdomen, that mainly occurs in children and infants.</li><li>Ovarian cyst can cause a smooth, rounded, rubbery mass above the pelvis in the lower abdomen.</li><li>Pancreatic abscess can cause a mass in the upper abdomen in the epigastric area.</li><li>Pancreatic pseudocyst can cause a lumpy mass in the upper abdomen in the epigastric area.</li><li>Renal cell carcinoma can cause a smooth, firm, but not tender mass near the kidney (usually only affects one kidney).</li><li>Spleen enlargement (splenomegaly) can sometimes be felt in the left-upper quadrant.</li><li>Stomach cancer can cause a mass in the left-upper abdomen in the stomach area (epigastric) if the cancer is large.</li><li>Uterine leiomyoma (fibroids) can cause a round, lumpy mass above the pelvis in the lower abdomen (sometimes can be felt if the fibroids are large).</li><li>Volvulus can cause a mass anywhere in the abdomen.</li><li>Ureteropelvic junction obstruction can cause a mass in the lower abdomen.</li></ul>"
3,"Abdominal mass",4917457,"Home Care","<p>All abdominal masses should be examined as soon as possible by the health care provider.</p><p>Changing your body position may help relieve pain due to an abdominal mass.</p>"
3,"Abdominal mass",4917458,"When to Contact a Medical Professional","<p>Seek immediate medical help if you have a pulsating lump in your abdomen along with severe abdominal pain. This could be a sign of a ruptured aortic aneurysm, which is an emergency condition.</p><p>Contact your doctor if you notice any type of abdominal mass.</p>"
3,"Abdominal mass",4917459,"What to Expect at Your Office Visit","<p>In nonemergency situations, your doctor will perform a physical exam and ask questions about your symptoms and medical history.</p><p>In an emergency situation, you will be stabilized first. Then, the doctor will exam your abdomen and ask questions about your symptoms and medical history, such as:</p><ul><li>Where is the mass located?</li><li>When did you notice the mass?</li><li>Does it come and go?</li><li>Has the mass changed in size or position? Has it become more or less painful?</li><li>What other symptoms do you have?</li></ul><p>A pelvic or rectal examination may be needed in some cases. Tests that may be done to find the cause of an abdominal mass include:</p><ul><li>Abdominal CT scan</li><li>Abdominal ultrasound</li><li>Abdominal x-ray</li><li>Angiography</li><li>Barium enema</li><li>Blood tests such as CBC and blood chemistry</li><li>Colonoscopy</li><li>EGD</li><li>Isotope study</li><li>Sigmoidoscopy</li></ul>"
3,"Abdominal mass",4917460,"Alternative Names","<p>Mass in the abdomen</p>"
3,"Abdominal mass",4917461,References,"<p>Mcquaid K. Approach to the patient with gastrointestinal disease. In: Goldman L, Schafer AI, eds. <em>Cecil Medicine</em>. 24th ed. Philadelphia, Pa: Saunders Elsevier; 2011:chap 134.</p><p>Squires RA, Postier RG. Acute abdomen. In:Townsend CM Jr, Beauchamp RD, Evers BM, Mattox KL, eds.<em>Sabiston Textbook of Surgery</em>. 19th ed. Philadelphia, Pa: Saunders Elsevier; 2012:chap 47.</p>"
4,"Abdominal MRI scan",4917462,_INTRO_,"<p>An abdominal MRI (magnetic resonance imaging) scan is an imaging test that uses powerful magnets and radio waves to create pictures of the inside of the belly area. It does not use radiation (x-rays).</p><p>Single MRI images are called slices. The images can be stored on a computer or printed on film. One exam produces dozens or sometimes hundreds of images.</p>"
4,"Abdominal MRI scan",4917463,"How the Test is Performed","<p>You may be asked to wear a hospital gown or clothing without metal zippers or snaps (such as sweatpants and a t-shirt). Certain types of metal can cause blurry images.</p><p>You will lie on a narrow table. The table slides into a large tunnel-shaped scanner.</p><p>Some exams require a special dye (contrast). Most of the time, the dye is given before the test through a vein (IV) in your hand or forearm. The dye helps the radiologist see certain areas more clearly.</p><p>During the MRI, the person who operates the machine will watch you from another room. The test lasts about 30-60 minutes, but may take longer.</p>"
4,"Abdominal MRI scan",4917464,"How to Prepare for the Test","<p>You may be asked not to eat or drink anything for 4 - 6 hours before the scan.</p><p>Tell your doctor if you are afraid of close spaces (have claustrophobia). You may be given a medicine to help you feel sleepy and less anxious, or your doctor may suggest an ""open"" MRI, in which the machine is not as close to the body.</p><p>Before the test, tell your health care provider if you have:</p><ul><li>Artificial heart valves</li><li>Brain aneurysm clips</li><li>Heart defibrillator or pacemaker</li><li>Inner ear (cochlear) implants</li><li>Kidney disease or dialysis (you may not be able to receive contrast)</li><li>Recently placed artificial joints</li><li>Certain types of vascular stents</li><li>Worked with sheet metal in the past (you may need tests to check for metal pieces in your eyes)</li></ul><p>Because the MRI contains strong magnets, metal objects are not allowed into the room with the MRI scanner:</p><ul><li>Items such as jewelry, watches, credit cards, and hearing aids can be damaged.</li><li>Pens, pocketknives, and eyeglasses may fly across the room.</li><li>Pins, hairpins, metal zippers, and similar metallic items can distort the images.</li><li>Removable dental work should be taken out just before the scan.</li></ul>"
4,"Abdominal MRI scan",4917465,"How the Test Will Feel","<p>An MRI exam causes no pain. Youmay get medicine to relax you if you have a problemlying still or are very nervous. Moving too much can blur MRI images and cause errors.</p><p>The table may be hard or cold, but you canask fora blanket or pillow. The machinemakes loud thumping and humming noises when turned on. You can wear ear plugs to help reduce the noise.</p><p>An intercom in the room allows you to speak to someone at any time. Some MRIs have televisions and special headphonesto help youtime pass.</p><p>There is no recovery time, unless you were given a medicine to relax. After an MRI scan, you can go back to your normal diet, activity, and medicines.</p>"
4,"Abdominal MRI scan",4917466,"Why the Test is Performed","<p>An abdominal MRI provides detailed pictures of the belly area from many views. It is often used to clarify findings from earlier x-rays or CT scans.</p><p>This test may be used to look at:</p><ul><li>Blood flow in the abdomen</li><li>Blood vessels in the abdomen</li><li>The cause of abdominal pain or swelling</li><li>The cause of abnormal blood test results, such as liver or kidney problems</li><li>Lymph nodes in the abdomen</li></ul><p>MRI can distinguish tumors from normal tissues. This can help the doctor know more about the tumor such as size, severity, and spread. This is called staging.</p><p>MRI is sometimes used to avoid the dangers of angiography, too much radiation exposure, and allergies from iodine.</p>"
4,"Abdominal MRI scan",4917467,"What Abnormal Results Mean","<p>An abnormal result may be due to:</p><ul><li>Abscess</li><li>Acute tubular necrosis</li><li>Cancer</li><li>Enlarged spleen or liver</li><li>Gallbladder or bile duct problems</li><li>Gallstones, bile duct stones</li><li>Hemangiomas</li><li>Hydronephrosis (kidney swelling from the backflow of urine)</li><li>Kidney infection</li><li>Kidney damage</li><li>Lymphadenopathy (abnormalities of the lymph nodes)</li><li>Obstructed vena cava</li><li>Pancreatic cancer</li><li>Portal vein obstruction (liver)</li><li>Renal arterial obstruction</li><li>Renal vein thrombosis</li><li>Transplant rejection</li><li>Tumor of the gallbladder</li></ul><p>Additional conditions under which the test may be performed:</p><ul><li>Abdominal aortic aneurysm</li><li>Acute renal failure</li><li>Adenomyosis</li><li>Atheroembolic renal disease</li><li>Carcinoma of the renal pelvis or ureter</li><li>Chronic renal failure</li><li>Cystinuria</li><li>Hydatidiform mole</li><li>Injury of the kidney and ureter</li><li>Insulinoma</li><li>Islet of Langerhans' tumor</li><li>Medullary cystic disease</li><li>Multiple endocrine neoplasia (MEN) II</li><li>Multiple endocrine neoplasia (MEN) I</li><li>Nephrolithiasis</li><li>Ovarian cancer</li><li>Pheochromocytoma</li></ul>"
4,"Abdominal MRI scan",4917468,Risks,"<p>MRI does not use ionizingradiation. No side effects from the magnetic fields and radio waves have been reported.</p><p>The most common type of contrast (dye) used is gadolinium. It is very safe. Allergic reactions rarely occur. However, gadolinium can be harmful to people with kidney problems whoneed dialysis. Tell your health care provider before the test if you have have kidney problems. </p><p>The strong magnetic fields created during an MRI can cause heart pacemakers and other implants not towork as well. The magnets can also cause a piece of metal inside your body to move or shift.</p>"
4,"Abdominal MRI scan",4917469,"Alternative Names","<p>Nuclear magnetic resonance - abdomen; NMR - abdomen; Magnetic resonance imaging - abdomen; MRI of the abdomen</p>"
4,"Abdominal MRI scan",4917470,References,"<p>Kim DH, Pickhard PJ. Diagnostic imaging procedures in gastroenterology. In: Goldman L, Schafter AI, eds. <em>Cecil Medicine. </em>24th ed. Philadelphia, Pa: Saunders Elsevier; 2011:chap 135.</p><p>Wilkinson ID, Paley MNJ. Magnetic resonance imaging: basic principles. In: Adam A, Dixon AK, eds. <em>Granger &amp; Allison's Diagnostic Radiology: A Textbook of Medical Imaging</em>. 5th ed. New York, NY: Churchill Livingstone;2008:chap 5.</p>"
5,"Abdominal pain",4917471,_INTRO_,"<p>Abdominal pain is pain that you feel anywhere between your chest and groin. This is often referred to as the stomach region or belly.</p>"
5,"Abdominal pain",4917472,Considerations,"<p>Almost everyone has pain in the abdomen at one time or another. Most of the time, it is not caused by a serious medical problem.</p><p>How bad your pain is does not always reflect the seriousness of the condition causing the pain.</p><p>For example, you might feel severe abdominal pain if you have gas or stomach cramps due to a viral gastroenteritis.</p><p>Sometimes, life-threatening conditions such as colon cancer or early appendicitis may only cause mild pain or no pain.</p><p>Other ways of describing pain in your abdomen include:</p><ul><li>Pain may be generalized, meaning that you feel it in more than half of your belly. This is more typical for a stomach virus, indigestion, or gas. If the pain becomes more severe, it may be caused by a blockage of the intestines.</li><li>Pain that is localized is found in only one area of your belly. This type of pain is more likely to be a sign of a problem in an organ, such as the appendix, gallbladder, or stomach.</li><li>Cramp-like pain is usually not serious, and is more likely to be due to gas and bloating. It is often followed by diarrhea. More worrisome signs include pain that occurs more often, lasts than 24 hours, or occurs with a fever.</li><li>Colicky pain is pain that comes in waves. It usually starts and ends suddenly, and is often severe. Kidney stones and gallstones are common causes of this type of belly pain. </li></ul>"
5,"Abdominal pain",4917473,Causes,"<p>Many different conditions can cause abdominal pain. The key is to know when you need to get immediate medical care. Sometimes you may only need to call a doctor if your symptoms continue.</p><p>Less serious causes of abdominal pain include:</p><ul><li>Constipation</li><li>Irritable bowel syndrome</li><li>Food allergies or intolerance (such as lactose intolerance)</li><li>Food poisoning</li><li>Stomach flu </li></ul><p>Other possible causes include:</p><ul><li>Appendicitis</li><li>Abdominal aortic aneurysm</li><li>Bowel blockage or obstruction</li><li>Cancer of the stomach, colon, and other organs</li><li>Cholecystitis (inflammation of the gallbladder) with or without gallstones</li><li>Decreased blood supply to the intestines (ischemic bowel)</li><li>Diverticulitis</li><li>Heartburn, indigestion, or gastroesophageal reflux (GERD)</li><li>Inflammatory bowel disease (Crohn's disease or ulcerative colitis)</li><li>Kidney stones</li><li>Pancreatitis (swelling or infection of the pancreas)</li><li>Ulcers</li></ul><p>Sometimes, abdominal pain may occur due to a problem somewhere else in your body, such as your chest or pelvic area. For example, you may have abdominal pain if you have:</p><ul><li>Heart attack</li><li>Severe menstrual cramps</li><li>Endometriosis</li><li>Muscle strain</li><li>Pelvic inflammatory disease (PID)</li><li>Pneumonia</li><li>Tubal (ectopic) pregnancy</li><li>Urinary tract infections</li></ul>"
5,"Abdominal pain",4917474,"Home Care","<p>If you have mild abdominal pain, the following tips might be helpful:</p><ul><li>Sip water or other clear fluids.</li><li>Avoid solid food for the first few hours.</li><li>If you have been vomiting, wait 6 hours, and then eat small amounts of mild foods such as rice, applesauce, or crackers. Avoid dairy products.</li><li>If the pain is high up in your abdomen and occurs after meals, antacids may help, especially if you feel heartburn or indigestion. Avoid citrus, high-fat foods, fried or greasy foods, tomato products, caffeine, alcohol, and carbonated beverages.</li><li>Avoid aspirin, ibuprofen or other anti-inflammatory medications, and narcotic pain medications unless your health care provider prescribes them. If you know that your pain is not related to your liver, you can try acetaminophen (Tylenol).</li></ul>"
5,"Abdominal pain",4917475,"When to Contact a Medical Professional","<p>Seek immediate medical help or call your local emergency number (such as 911) if you:</p><ul><li>Are currently being treated for cancer</li><li>Are unable to pass stool, especially if you are also vomiting</li><li>Are vomiting blood or have blood in your stool (especially if maroon or dark, tarry black)</li><li>Have chest, neck, or shoulder pain</li><li>Have sudden, sharp abdominal pain</li><li>Have pain in, or between, your shoulder blades with nausea</li><li>Have tenderness in your belly, or your belly is rigid and hard to the touch</li><li>Are pregnant or could be pregnant</li><li>Had a recent injury to your abdomen</li><li>Have difficulty breathing</li></ul><p>Call your doctor if you have:</p><ul><li>Abdominal discomfort that lasts 1 week or longer</li><li>Abdominal pain that does not improve in 24 - 48 hours, or becomes more severe and frequent and occurs with nausea and vomiting</li><li>Bloating that persists for more than 2 days</li><li>Burning sensation when you urinate or frequent urination</li><li>Diarrhea for more than 5 days</li><li>Fever (over 100F for adults or 100.4F for children) with your pain</li><li>Prolonged poor appetite</li><li>Prolonged vaginal bleeding</li><li>Unexplained weight loss</li></ul>"
5,"Abdominal pain",4917476,"What to Expect at Your Office Visit","<p>Your health care provider will perform a physical exam and ask questions about your symptoms and medical history. Your specific symptoms, the location of pain and when it occurs will help your health care provider diagnosis the cause.</p><p>You may be asked the following questions:</p><ul><li>Where do you feel the pain?</li><li>Is the pain all over or in a specific location?</li><li>Does the pain move into your back, groin, or down your legs?</li><li>Is the pain severe, sharp, or cramping?</li><li>Do you have it all the time or does it come and go?</li><li>Does the pain wake you up at night?</li><li>Have you had similar pain in the past? How long has each episode lasted?</li><li>When does the pain occur? For example, after meals or during menstruation?</li><li>What makes the pain worse? For example, eating, stress, or lying down?</li><li>What makes the pain better? For example, drinking milk, having a bowel movement, or taking an antacid?</li><li>What medications are you taking?</li><li>Have you had a recent injury?</li><li>Are you pregnant?</li><li>What other symptoms do you have?</li></ul><p>Tests that may be done include:</p><ul><li>Barium enema</li><li>Blood, urine, and stool tests</li><li>CT scan</li><li>Colonoscopy or sigmoidoscopy</li><li>EKG (electrocardiogram) or heart tracing</li><li>Ultrasound of the abdomen</li><li>Upper GI and small bowel series</li><li>X-rays of the abdomen</li></ul>"
5,"Abdominal pain",4917477,Prevention,"<p>The following steps may help prevent some types of abdominal pain:</p><ul><li>Avoid fatty or greasy foods.</li><li>Drink plenty of water each day.</li><li>Eat small meals more frequently.</li><li>Exercise regularly.</li><li>Limit foods that produce gas.</li><li>Make sure that your meals are well-balanced and high in fiber. Eat plenty of fruits and vegetables.</li></ul>"
5,"Abdominal pain",4917478,"Alternative Names","<p>Stomach pain; Pain - abdomen; Belly ache; Abdominal cramps; Bellyache; Stomachache</p>"
